id_date,date,day,month,year,day_of_week,day_name,month_name,quarter,weekday_indicator,week_of_year,is_end_of_month,is_end_of_quarter,is_end_of_year,quarter_name,year_month,quarter_year,holiday_indicator
19000101,1900-01-01,1,1,1900,1,Lunes,Enero,1,Entre Semana,1,False,False,False,T1,1900-01,T1 1900,No Festivo
20250101,2025-01-01,1,1,2025,3,Miércoles,Enero,1,Entre Semana,1,False,False,False,T1,2025-01,T1 2025,Festivo
20250102,2025-01-02,2,1,2025,4,Jueves,Enero,1,Entre Semana,1,False,False,False,T1,2025-01,T1 2025,No Festivo
20250103,2025-01-03,3,1,2025,5,Viernes,Enero,1,Entre Semana,1,False,False,False,T1,2025-01,T1 2025,No Festivo
20250104,2025-01-04,4,1,2025,6,Sábado,Enero,1,Fin de Semana,1,False,False,False,T1,2025-01,T1 2025,No Festivo
20250105,2025-01-05,5,1,2025,7,Domingo,Enero,1,Fin de Semana,1,False,False,False,T1,2025-01,T1 2025,No Festivo
20250106,2025-01-06,6,1,2025,1,Lunes,Enero,1,Entre Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250107,2025-01-07,7,1,2025,2,Martes,Enero,1,Entre Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250108,2025-01-08,8,1,2025,3,Miércoles,Enero,1,Entre Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250109,2025-01-09,9,1,2025,4,Jueves,Enero,1,Entre Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250110,2025-01-10,10,1,2025,5,Viernes,Enero,1,Entre Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250111,2025-01-11,11,1,2025,6,Sábado,Enero,1,Fin de Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250112,2025-01-12,12,1,2025,7,Domingo,Enero,1,Fin de Semana,2,False,False,False,T1,2025-01,T1 2025,No Festivo
20250113,2025-01-13,13,1,2025,1,Lunes,Enero,1,Entre Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250114,2025-01-14,14,1,2025,2,Martes,Enero,1,Entre Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250115,2025-01-15,15,1,2025,3,Miércoles,Enero,1,Entre Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250116,2025-01-16,16,1,2025,4,Jueves,Enero,1,Entre Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250117,2025-01-17,17,1,2025,5,Viernes,Enero,1,Entre Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250118,2025-01-18,18,1,2025,6,Sábado,Enero,1,Fin de Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250119,2025-01-19,19,1,2025,7,Domingo,Enero,1,Fin de Semana,3,False,False,False,T1,2025-01,T1 2025,No Festivo
20250120,2025-01-20,20,1,2025,1,Lunes,Enero,1,Entre Semana,4,False,False,False,T1,2025-01,T1 2025,No Festivo
20250121,2025-01-21,21,1,2025,2,Martes,Enero,1,Entre Semana,4,False,False,False,T1,2025-01,T1 2025,No Festivo
