id_transaction,id_date,id_hour,id_product,id_store,pos_transaction,id_promotion,sales_quantity,regular_unit_price,cost_unit_price,discount_unit_price,net_unit_price,extended_discount_price,extended_net_price,extended_cost_price,extended_gross_profit
1,20250902,21,47,3,1,1,1,548.0,361.68,0.0,548.0,0.0,548.0,361.68,186.32
2,20250513,11,70,4,2,1,1,550.0,440.0,0.0,550.0,0.0,550.0,440.0,110.0
3,20250605,18,39,19,3,1,1,381.0,205.74,0.0,381.0,0.0,381.0,205.74,175.26
4,20250604,14,80,13,4,1,2,637.0,388.57,0.0,637.0,0.0,1274.0,777.14,496.86
5,20250718,21,30,9,5,1,1,179.0,87.71,0.0,179.0,0.0,179.0,87.71,91.29
6,20250722,11,100,3,6,1,1,548.0,312.35999999999996,0.0,548.0,0.0,548.0,312.35999999999996,235.64000000000004
7,20250326,20,65,7,7,1,1,490.0,254.8,0.0,490.0,0.0,490.0,254.8,235.2
8,20250428,18,43,13,8,1,1,496.0,292.64,0.0,496.0,0.0,496.0,292.64,203.36
9,20250809,20,3,6,9,1,1,237.0,106.65,0.0,237.0,0.0,237.0,106.65,130.35
10,20250117,21,38,12,10,3,2,579.0,428.46,289.5,289.5,579.0,579.0,856.92,-277.91999999999996
11,20250825,14,62,15,11,1,1,230.0,82.8,0.0,230.0,0.0,230.0,82.8,147.2
12,20250123,15,32,17,12,1,1,556.0,400.32,0.0,556.0,0.0,556.0,400.32,155.68
13,20251114,18,66,17,13,1,1,439.0,272.18,0.0,439.0,0.0,439.0,272.18,166.82
14,20250923,15,66,5,14,1,1,294.0,161.70000000000002,0.0,294.0,0.0,294.0,161.70000000000002,132.29999999999998
15,20250523,15,99,3,15,1,1,775.0,372.0,0.0,775.0,0.0,775.0,372.0,403.0
16,20250715,14,10,9,16,1,1,398.0,294.52,0.0,398.0,0.0,398.0,294.52,103.48000000000002
17,20251227,20,94,19,17,1,1,379.0,242.56,0.0,379.0,0.0,379.0,242.56,136.44
18,20250208,20,74,6,18,1,2,608.0,425.59999999999997,0.0,608.0,0.0,1216.0,851.1999999999999,364.80000000000007
19,20251020,19,34,14,19,1,1,898.0,359.20000000000005,0.0,898.0,0.0,898.0,359.20000000000005,538.8
20,20250119,14,63,8,20,1,1,322.0,161.0,0.0,322.0,0.0,322.0,161.0,161.0
21,20251027,20,59,6,21,1,1,426.0,221.52,0.0,426.0,0.0,426.0,221.52,204.48
22,20250724,17,69,12,22,1,1,346.0,262.96,0.0,346.0,0.0,346.0,262.96,83.04000000000002
23,20250606,14,62,14,23,1,1,443.0,341.11,0.0,443.0,0.0,443.0,341.11,101.88999999999999
24,20251201,17,70,2,24,1,1,256.0,166.4,0.0,256.0,0.0,256.0,166.4,89.6
25,20250412,16,56,17,25,1,1,732.0,461.16,0.0,732.0,0.0,732.0,461.16,270.84
26,20250115,12,83,17,26,1,1,398.0,278.59999999999997,0.0,398.0,0.0,398.0,278.59999999999997,119.40000000000003
27,20251108,17,54,11,27,1,1,522.0,328.86,0.0,522.0,0.0,522.0,328.86,193.14
28,20250626,16,52,2,28,1,1,508.0,340.36,0.0,508.0,0.0,508.0,340.36,167.64
29,20250101,17,89,16,29,1,1,423.0,266.49,0.0,423.0,0.0,423.0,266.49,156.51
30,20250406,20,41,20,30,1,1,431.0,262.90999999999997,0.0,431.0,0.0,431.0,262.90999999999997,168.09000000000003
